address,state,provAbortion,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
"501 S Vincent Ave Suite 205, West Covina, CA 91790",CA,Provides Abortions,34.066667,-117.927985,1,rooftop,501,S Vincent Ave,Ste,205,West Covina,CA,Los Angeles County,91790,US,Los Angeles,2018,6,6037,West Covina,684200,406702,4028,4,6.03741E+13,6037406702,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"43845 10th St W #1E, Lancaster, CA 93534",CA,Provides Abortions,34.680092,-118.148474,1,rooftop,43845,10th St W,#,1E,Lancaster,CA,Los Angeles County,93534,US,City of Lancaster,2018,6,6037,Lancaster,640130,900703,3000,3,6.0379E+13,6037900703,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"25 Lindsley Dr., Suite 101, Morristown, NJ 07960",NJ,Provides Abortions,40.800408,-74.46095,1,rooftop,25,Lindsley Dr,Ste,101,Morristown,NJ,Morris County,7960,US,Morris,2018,34,34027,,,43301,2039,2,3.4027E+14,34027043301,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Newark, NJ-PA",35084
"601 Ewing Street, Suite A-3, Princeton, NJ 08540",NJ,Provides Abortions,40.370314,-74.658814,1,range_interpolation,601,Ewing St,Ste,A3,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau,2018,34,34021,Princeton,3460900,4201,5022,5,3.4021E+14,34021004201,"Trenton, NJ",45940,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
"4000 Victory Blvd, Staten Island, NY 10314",NY,Provides Abortions,40.593433,-74.187372,1,rooftop,4000,Victory Blvd,,,Staten Island,NY,Richmond County,10314,US,City of New York,2018,36,36085,New York,3651000,29102,2000,2,3.6085E+14,36085029102,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"1142 Grove Road, Greenville, SC 29605",SC,Provides Abortions,34.808954,-82.421443,1,rooftop,1142,Grove Rd,,,Greenville,SC,Greenville County,29605,US,Greenville,2018,45,45045,Dunean,4521310,2103,2040,2,4.5045E+14,45045002103,"Greenville-Anderson-Mauldin, SC",24860,metropolitan,"Greenville-Spartanburg-Anderson, SC",273,,
"17 Fontana Lane, Suite 201, Rosedale, MD 21237",MD,Provides Abortions,39.339144,-76.489872,1,rooftop,17,Fontana Ln,Ste,201,Rosedale,MD,Baltimore County,21237,US,Baltimore,2018,24,24005,Rossville,2468700,440701,1017,1,2.40054E+14,24005440701,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,
"100 Cummings Center, Suite 110-E, Beverly, MA 01915",MA,Provides Abortions,42.559708,-70.886073,1,rooftop,100,Cummings Ctr,Ste,110E,Beverly,MA,Essex County,1915,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2018,25,25009,Beverly,2505595,217300,1002,1,2.50092E+14,25009217300,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Cambridge-Newton-Framingham, MA",15764
"215 Summer Street, Suite 16, Haverhill, MA 01830",MA,Provides Abortions,42.776004,-71.067949,1,rooftop,215,Summer St,Ste,16,Haverhill,MA,Essex County,1830,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2018,25,25009,Haverhill,2529405,260200,2027,2,2.50093E+14,25009260200,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Cambridge-Newton-Framingham, MA",15764
"280 Merrimack Street, Suite 544, Lawrence, MA 01843",MA,Provides Abortions,42.703154,-71.148477,1,rooftop,280,Merrimack St,Ste,544,Lawrence,MA,Essex County,1843,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2018,25,25009,Lawrence,2534550,251600,1012,1,2.50093E+14,25009251600,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Cambridge-Newton-Framingham, MA",15764
"300 E. Hampden Ave., Suite 201, Denver, CO 80206",CO,Provides Abortions,39.65322,-104.923465,0.57,street_center,,E Hampden Ave,Ste,201,Denver,CO,Denver County,80222,US,TIGER/Line® dataset from the US Census Bureau,2018,8,8031,Denver,820000,4003,2023,2,8.031E+13,8031004003,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"1155 W. Central Ave, Suite 214, Santa Ana, CA 92707",CA,Provides Abortions,33.713159,-117.88435,1,rooftop,1155,W Central Ave,Ste,214,Santa Ana,CA,Orange County,92707,US,Orange,2018,6,6059,Santa Ana,669000,74005,1008,1,6.05907E+13,6059074005,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Anaheim-Santa Ana-Irvine, CA",11244
"241 W Olive Ave, Burbank, CA 91502",CA,Provides Abortions,34.174404,-118.315992,1,rooftop,241,W Olive Ave,,,Burbank,CA,Los Angeles County,91502,US,City of Burbank,2018,6,6037,Burbank,608954,310800,2017,2,6.03731E+13,6037310800,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"2226 E Cesar Chavez Ave, Los Angeles, CA 90033",CA,Provides Abortions,34.05038,-118.211991,0.33,place,,,,,Los Angeles,CA,Los Angeles County,90033,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6037,Los Angeles,644000,203600,3005,3,6.0372E+13,6037203600,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"7024 Seville Ave, Suite A, Huntington Park, CA 90255",CA,Provides Abortions,33.975642,-118.222138,1,rooftop,7024,Seville Ave,Ste,A,Huntington Park,CA,Los Angeles County,90255,US,Los Angeles,2018,6,6037,Huntington Park,636056,533104,2004,2,6.03753E+13,6037533104,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"8349 Reseda Blvd, Northridge, CA 91324",CA,Provides Abortions,34.222156,-118.536289,1,rooftop,8349,Reseda Blvd,,,Northridge,CA,Los Angeles County,91324,US,Los Angeles,2018,6,6037,Los Angeles,644000,115404,2009,2,6.03712E+13,6037115404,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"418 San Fernando Mission Blvd, San Fernando, CA 91340",CA,Provides Abortions,34.282688,-118.444531,1,rooftop,418,San Fernando Mission Blvd,,,San Fernando,CA,Los Angeles County,91340,US,Los Angeles,2018,6,6037,San Fernando,666140,320300,2022,2,6.03732E+13,6037320300,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"7220 Woodman Ave, Suite 106, Van Nuys, CA 91405",CA,Provides Abortions,34.201964,-118.431058,1,rooftop,7220,Woodman Ave,Ste,106,Van Nuys,CA,Los Angeles County,91405,US,Los Angeles,2018,6,6037,Los Angeles,644000,127103,1004,1,6.03713E+13,6037127103,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"320 East Fulton, Grand Rapids, MI, 49503",MI,Provides Abortions,42.96279,-85.660923,1,rooftop,320,Fulton St E,,,Grand Rapids,MI,Kent County,49503,US,Kent,2018,26,26081,Grand Rapids,2634000,2100,2007,2,2.6081E+14,26081002100,"Grand Rapids-Wyoming, MI",24340,metropolitan,"Grand Rapids-Wyoming-Muskegon, MI",266,,
"500 E. Schuster Ave., Suite B, El Paso, TX 79902",TX,Provides Abortions,31.771198,-106.494201,1,range_interpolation,500,E Schuster Ave,Ste,B,El Paso,TX,El Paso County,79902,US,TIGER/Line® dataset from the US Census Bureau,2018,48,48141,El Paso,4824000,1600,2000,2,4.8141E+14,48141001600,"El Paso, TX",21340,metropolitan,"El Paso-Las Cruces, TX-NM",238,,
"5290 McNutt Road, Suite 106, Sunland Park, NM 88008",NM,Provides Abortions,31.848434,-106.624765,0.9,rooftop,5290,McNutt Rd,Ste,106,Sunland Park,NM,Doña Ana County,88063,US,Statewide,2018,35,35013,Sunland Park,3575640,1701,1225,1,3.5013E+14,35013001701,"Las Cruces, NM",29740,metropolitan,"El Paso-Las Cruces, TX-NM",238,,
"1602 21st Street, Granite City, IL 62040",IL,Provides Abortions,38.703207,-90.147753,0.6,street_center,,21st St,,,Granite City,IL,Madison County,62040,US,TIGER/Line® dataset from the US Census Bureau,2018,17,17119,Granite City,1730926,404000,3005,3,1.71194E+14,17119404000,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
"210 Kings Highway, Shreveport, LA 71104",LA,Provides Abortions,32.481929,-93.734079,0.87,range_interpolation,210,W Kings Hwy,,,Shreveport,LA,Caddo Parish,71104,US,TIGER/Line® dataset from the US Census Bureau,2018,22,22017,Shreveport,2270000,21200,2016,2,2.2017E+14,22017021200,"Shreveport-Bossier City, LA",43340,metropolitan,,,,
"4820 San Jacinto, Houston, TX 77004",TX,Provides Abortions,29.729907,-95.3843,1,rooftop,4820,San Jacinto St,,,Houston,TX,Harris County,77004,US,Greater Houston,2018,48,48201,Houston,4835000,312600,2009,2,4.82013E+14,48201312600,"Houston-The Woodlands-Sugar Land, TX",26420,metropolitan,"Houston-The Woodlands, TX",288,,
"5225 Katy Freeway, Suite 370, Houston, TX 77007",TX,Provides Abortions,29.776733,-95.414012,1,rooftop,5225,Katy Fwy,Ste,370,Houston,TX,Harris County,77007,US,Harris,2018,48,48201,Houston,4835000,510600,3015,3,4.82015E+14,48201510600,"Houston-The Woodlands-Sugar Land, TX",26420,metropolitan,"Houston-The Woodlands, TX",288,,
"1186 Roosevelt Road, Glen Ellyn, IL 60137",IL,Provides Abortions,41.860227,-88.031912,1,rooftop,1186,Roosevelt Rd,,,Glen Ellyn,IL,DuPage County,60137,US,Dupage,2018,17,17043,Glen Ellyn,1729756,844201,2009,2,1.70438E+14,17043844201,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"1700 75th Street, Downers Grove, IL 60516",IL,Provides Abortions,41.751574,-88.024973,1,rooftop,1700,75th St,,,Downers Grove,IL,DuPage County,60516,US,Dupage,2018,17,17043,Downers Grove,1720591,845703,3005,3,1.70438E+14,17043845703,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"203 E Irving Park Road, Wood Dale, IL 60191",IL,Provides Abortions,41.963122,-87.974213,1,rooftop,203,E Irving Park Rd,,,Wood Dale,IL,DuPage County,60191,US,Dupage,2018,17,17043,Wood Dale,1782985,840101,1017,1,1.70438E+14,17043840101,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"2415 S. Michigan Avenue, Chicago, IL 60616",IL,Provides Abortions,41.848813,-87.62325,1,rooftop,2415,S Michigan Ave,,,Chicago,IL,Cook County,60616,US,City of Chicago,2018,17,17031,Chicago,1714000,841000,1031,1,1.70318E+14,17031841000,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Arlington Heights, IL",16974
"2903 North State Street, Jackson, MS 39216",MS,Provides Abortions,32.334618,-90.177028,1,rooftop,2903,N State St,,,Jackson,MS,Hinds County,39216,US,Hinds,2018,28,28049,Jackson,2836000,1300,1035,1,2.8049E+14,28049001300,"Jackson, MS",27140,metropolitan,"Jackson-Vicksburg-Brookhaven, MS",298,,
"271 Newark Ave, Jersey City, NJ 07302",NJ,Provides Abortions,40.72314,-74.049484,1,rooftop,271,Newark Ave,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34017,Jersey City,3436000,2200,1003,1,3.4017E+14,34017002200,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"1323 Stuyvesant Avenue, Union, NJ 07083",NJ,Provides Abortions,40.701712,-74.263881,1,rooftop,1323,Stuyvesant Ave,,,Union,NJ,Union County,7083,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34039,,,33100,3000,3,3.4039E+14,34039033100,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Newark, NJ-PA",35084
"559 Portsmouth Ave, Greenland, NH 03840",NH,Provides Abortions,43.036372,-70.83753,1,rooftop,559,Portsmouth Ave,,,Greenland,NH,Rockingham County,3840,US,Statewide,2018,33,33015,,,107500,2018,2,3.30151E+14,33015107500,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Rockingham County-Strafford County, NH",40484
"3144 John F. Kennedy Blvd., Jersey City, NJ 07305",NJ,Provides Abortions,40.740259,-74.061339,1,range_interpolation,3144,John F Kennedy Blvd,,,Jersey City,NJ,Hudson County,7306,US,TIGER/Line® dataset from the US Census Bureau,2018,34,34017,Jersey City,3436000,902,1010,1,3.4017E+14,34017000902,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"1547 W. Clinch Avenue, Knoxville, TN 37916",TN,Provides Abortions,35.959536,-83.930153,1,range_interpolation,1547,Clinch Ave,,,Knoxville,TN,Knox County,37916,US,TIGER/Line® dataset from the US Census Bureau,2018,47,47093,Knoxville,4740000,6900,1004,1,4.7093E+14,47093006900,"Knoxville, TN",28940,metropolitan,"Knoxville-Morristown-Sevierville, TN",314,,
"4 Office Park Drive, Little Rock, AR 72211",AR,Provides Abortions,34.746128,-92.39747,1,rooftop,4,Office Park Dr,,,Little Rock,AR,Pulaski County,72211,US,Pulaski,2018,5,5119,Little Rock,541000,2407,1027,1,5.119E+13,5119002407,"Little Rock-North Little Rock-Conway, AR",30780,metropolitan,"Little Rock-North Little Rock, AR",340,,
"933 NW 25th Avenue, Portland, OR 97210",OR,Provides Abortions,45.529489,-122.702981,1,rooftop,933,NW 25th Ave,,,Portland,OR,Multnomah County,97210,US,Portland,2018,41,41051,Portland,4159000,4700,2011,2,4.1051E+14,41051004700,"Portland-Vancouver-Hillsboro, OR-WA",38900,metropolitan,"Portland-Vancouver-Salem, OR-WA",440,,
"700 Mount Hope Avenue, Suite 420, Bangor ME 04401",ME,Provides Abortions,44.82479,-68.735824,1,rooftop,700,Mt Hope Ave,Ste,420,Bangor,ME,Penobscot County,4401,US,Maine Office of GIS,2018,23,23019,Bangor,2302795,300,1001,1,2.3019E+14,23019000300,"Bangor, ME",12620,metropolitan,,,,
"43 Gabriel Drive, Augusta, ME, 04330",ME,Provides Abortions,44.369013,-69.797641,1,rooftop,43,Gabriel Dr,,,Augusta,ME,Kennebec County,4330,US,Maine Office of GIS,2018,23,23011,Augusta,2302100,10200,1020,1,2.3011E+14,23011010200,"Augusta-Waterville, ME",12300,micropolitan,,,,
"68 Mount Hope Avenue, Bangor, ME 04401",ME,Provides Abortions,44.813211,-68.76344,1,rooftop,68,Mt Hope Ave,,,Bangor,ME,Penobscot County,4401,US,Maine Office of GIS,2018,23,23019,Bangor,2302795,300,3005,3,2.3019E+14,23019000300,"Bangor, ME",12620,metropolitan,,,,
"147 Waldo Avenue, Belfast, ME 04915",ME,Provides Abortions,44.432566,-69.018922,1,rooftop,147,Waldo Ave,,,Belfast,ME,Waldo County,4915,US,Maine Office of GIS,2018,23,23027,Belfast,2303950,43000,2034,2,2.3027E+14,23027043000,,,,,,,
"10 Barker St Suite D, Calais, ME 04619",ME,Provides Abortions,45.186003,-67.267664,1,rooftop,10,Barker St,Ste,D,Calais,ME,Washington County,4619,US,Maine Office of GIS,2018,23,23029,Calais,2309585,955500,2007,2,2.303E+14,23029955500,,,,,,,
"767 Main Street, Damariscotta, ME 04543",ME,Provides Abortions,44.054885,-69.499431,1,rooftop,767,Main St,,,Damariscotta,ME,Lincoln County,4543,US,Maine Office of GIS,2018,23,23015,,,975300,3004,3,2.3016E+14,23015975300,,,,,,,
"311 Corinna Road, Dexter, ME 04930",ME,Provides Abortions,45.003692,-69.283085,1,rooftop,311,Corinna Rd,,,Dexter,ME,Penobscot County,4930,US,Maine Office of GIS,2018,23,23019,Dexter,2317495,15000,1036,1,2.3019E+14,23019015000,"Bangor, ME",12620,metropolitan,,,,
"248 State Street, Ellsworth, ME 04605",ME,Provides Abortions,44.551612,-68.429392,1,rooftop,248,State St,,,Ellsworth,ME,Hancock County,4605,US,Maine Office of GIS,2018,23,23009,Ellsworth,2323200,965503,2035,2,2.301E+14,23009965503,,,,,,,
"193 Front Street, Farmington, ME 04938",ME,Provides Abortions,44.668767,-70.151888,1,rooftop,193,Front St,,,Farmington,ME,Franklin County,4938,US,Maine Office of GIS,2018,23,23007,Farmington,2324740,971200,2040,2,2.3008E+14,23007971200,,,,,,,
"139 Market Street, Fort Kent, ME 04743",ME,Provides Abortions,47.251013,-68.579734,1,rooftop,139,Market St,,,Fort Kent,ME,Aroostook County,4743,US,Maine Office of GIS,2018,23,23003,Fort Kent,2325720,950600,1084,1,2.3004E+14,23003950600,,,,,,,
"91 Military Street, Houlton, ME 04730",ME,Provides Abortions,46.123998,-67.831249,1,rooftop,91,Military St,,,Houlton,ME,Aroostook County,4730,US,Maine Office of GIS,2018,23,23003,Houlton,2333945,952400,4021,4,2.3004E+14,23003952400,,,,,,,
"179 Lisbon Street, Lewiston, ME 04240",ME,Provides Abortions,44.095584,-70.21679,1,rooftop,179,Lisbon St,,,Lewiston,ME,Androscoggin County,4240,US,Maine Office of GIS,2018,23,23001,Lewiston,2338740,20100,1011,1,2.3001E+14,23001020100,"Lewiston-Auburn, ME",30340,metropolitan,"Portland-Lewiston-South Portland, ME",438,,
"247 Main Street, Machias, ME 04654",ME,Provides Abortions,44.722815,-67.439696,1,rooftop,247,Main St,,,Whitneyville,ME,Washington County,4654,US,Maine Office of GIS,2018,23,23029,,,956200,2002,2,2.303E+14,23029956200,,,,,,,
"9 Marston Street, Norway, ME 04268",ME,Provides Abortions,44.212315,-70.536202,1,rooftop,9,Marston St,,,Norway,ME,Oxford County,4268,US,Maine Office of GIS,2018,23,23017,Norway,2353965,966500,4016,4,2.3018E+14,23017966500,,,,,,,
"5 Martin Street, Presque Isle, ME 04769",ME,Provides Abortions,46.687751,-68.009248,1,rooftop,5,Martin St,,,Presque Isle,ME,Aroostook County,4769,US,Maine Office of GIS,2018,23,23003,Presque Isle,2360825,951800,1041,1,2.3004E+14,23003951800,,,,,,,
"22 White Street, Rockland, ME 04841",ME,Provides Abortions,44.10547,-69.112955,1,rooftop,22,White St,,,Rockland,ME,Knox County,4841,US,Maine Office of GIS,2018,23,23013,Rockland,2363590,970700,3035,3,2.3014E+14,23013970700,,,,,,,
"218 Penobscot Street, Rumford, ME 04276",ME,Provides Abortions,44.549466,-70.551523,1,rooftop,218,Penobscot St,,,Rumford,ME,Oxford County,4276,US,Maine Office of GIS,2018,23,23017,Rumford,2364255,965600,1030,1,2.3018E+14,23017965600,,,,,,,
"188 Madison Avenue, Skowhegan, ME 04976",ME,Provides Abortions,44.774005,-69.72384,1,rooftop,188,Madison Ave,,,Skowhegan,ME,Somerset County,4976,US,Maine Office of GIS,2018,23,23025,Skowhegan,2368875,966600,2022,2,2.3026E+14,23025966600,,,,,,,
"18 Silver Street, Waterville, ME 04901",ME,Provides Abortions,44.548637,-69.630542,1,rooftop,18,Silver St,,,Waterville,ME,Kennebec County,4901,US,Maine Office of GIS,2018,23,23011,Waterville,2380740,24102,2040,2,2.3011E+14,23011024102,"Augusta-Waterville, ME",12300,micropolitan,,,,
"77 Gilcreast Road, Suite 1000, Londonderry, NH 03053",NH,Provides Abortions,42.865997,-71.351695,1,rooftop,77,Gilcreast Rd,Ste,1000,Londonderry,NH,Rockingham County,3053,US,Statewide,2018,33,33015,Londonderry,3343140,3701,1014,1,3.3015E+14,33015003701,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Rockingham County-Strafford County, NH",40484
"150 Tarrytown Rd, Manchester, NH 03103",NH,Provides Abortions,42.983637,-71.43514,1,range_interpolation,150,Tarrytown Rd,,,Manchester,NH,Hillsborough County,3103,US,TIGER/Line® dataset from the US Census Bureau,2018,33,33011,Manchester,3345140,1700,1009,1,3.3011E+14,33011001700,"Manchester-Nashua, NH",31700,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,,
"106 Irving Street NW, Physicians Office Building, Suite 4400 North Tower, Washington, DC 20010",DC,Provides Abortions,38.929375,-77.014396,1,rooftop,106,Irving St NW,Ste,4400,Washington,DC,District of Columbia,20010,US,Statewide,2018,11,11001,Washington,1150000,2302,1028,1,1.1001E+14,11001002302,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"Princeton Executive Square, 5625 Allentown Rd.Suite #203, Camp Springs, MD 20746",MD,Provides Abortions,38.834912,-76.912745,0.67,place,,,,,Suitland,MD,Prince George's County,20746,US,TIGER/Line® dataset from the US Census Bureau,2018,24,24033,Suitland,2475725,802001,1003,1,2.40338E+14,24033802001,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"5915 Greenbelt Rd, College Park, MD 20740",MD,Provides Abortions,38.997701,-76.912747,1,rooftop,5915,Greenbelt Rd,,,Berwyn Heights,MD,Prince George's County,20740,US,Prince Georges,2018,24,24033,Berwyn Heights,2406925,806800,1006,1,2.40338E+14,24033806800,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
"9063 Shady Grove Court, Gaithersburg, MD 20877",MD,Provides Abortions,39.119433,-77.183759,1,rooftop,9063,Shady Grove Ct,,,Gaithersburg,MD,Montgomery County,20877,US,Montgomery,2018,24,24031,,,700718,1015,1,2.40317E+14,24031700718,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Silver Spring-Frederick-Rockville, MD",43524
"40 Engle Street, Englewood, NJ 07631",NJ,Provides Abortions,40.894234,-73.972614,1,rooftop,40,Engle St,,,Englewood,NJ,Bergen County,7631,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2018,34,34003,Englewood,3421480,15400,2016,2,3.4003E+14,34003015400,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"7777 North University Drive, Suite 102, Ft. Lauderdale, FL 33321",FL,Provides Abortions,26.218045,-80.254739,1,rooftop,7777,N University Dr,Ste,102,Tamarac,FL,Broward County,33321,US,Loveland,2018,12,12011,Tamarac,1270675,20411,3000,3,1.2011E+14,12011020411,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",22744
"425 S. Cherry Street, Suite 300, Denver, CO 80246",CO,Provides Abortions,39.708967,-104.934197,1,rooftop,425,S Cherry St St,Ste,300,Glendale,CO,Arapahoe County,80246,US,Arapahoe,2018,8,8005,Glendale,830340,4952,1002,1,8.005E+13,8005004952,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"8200 E Belleview Ave., Suite #320, Englewood, CO 80111",CO,Provides Abortions,39.623328,-104.893573,1,rooftop,8200,E Belleview Ave Ave,Ste,320,Englewood,CO,Arapahoe County,80111,US,Arapahoe,2018,8,8005,Greenwood Village,833035,6858,2004,2,8.00501E+13,8005006858,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"9370 SW 72nd St A104, Miami, FL 33173",FL,Provides Abortions,25.700875,-80.345865,1,rooftop,9370,SW 72nd St,Ste,A104,Miami,FL,Miami-Dade County,33173,US,Miami2,2018,12,12086,Sunset,1269812,8407,4012,4,1.2086E+14,12086008407,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Miami-Miami Beach-Kendall, FL",33124
"6161 Miramar Parkway, Suite 300, Miramar, FL 33023",FL,Provides Abortions,25.984911,-80.210533,1,rooftop,6161,Miramar Pkwy,Ste,300,Miramar,FL,Broward County,33023,US,Loveland,2018,12,12011,Miramar,1245975,100801,1004,1,1.20111E+14,12011100801,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",22744
"330 Mount Auburn St, Cambridge, MA 02138",MA,Provides Abortions,42.374605,-71.135595,1,rooftop,330,Mt Auburn St,,,Cambridge,MA,Middlesex County,2138,US,City of Cambridge,2018,25,25017,Cambridge,2511000,354200,2004,2,2.50174E+14,25017354200,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Cambridge-Newton-Framingham, MA",15764
"1530 Ellis Street, Bellingham, WA 98225",WA,Provides Abortions,48.750477,-122.471392,1,rooftop,1530,Ellis St,,,Bellingham,WA,Whatcom County,98225,US,Bellingham,2018,53,53073,Bellingham,5305280,501,2058,2,5.3073E+14,53073000501,"Bellingham, WA",13380,metropolitan,,,,
"1805 E Division Street, Mount Vernon, WA 98274",WA,Provides Abortions,48.421269,-122.318046,1,rooftop,1805,E Division St,,,Mount Vernon,WA,Skagit County,98274,US,Skagit,2018,53,53057,Mount Vernon,5347560,952302,2024,2,5.3058E+14,53057952302,"Mount Vernon-Anacortes, WA",34580,metropolitan,"Seattle-Tacoma, WA",500,,
