Facility Name,Address,Street address,City,State,Zipcode,Phone Number,Website,Still Open,Provides Abortions,New clinic since last update,MAB,Surgical/aspiration,MAB Gestational Limit,Surgical/aspiration Gestational Limit,Date Opened (Year),Date Updated
"Women's Health Care of Western Colorado, P.C.","2525 North 8th Street, Suite #202, Grand Junction, CO 81501","2525 North 8th Street, Suite #202",Grand Junction,CO,81501,(970) 245-1168,http://www.womenshealthcaregj.com/index.html,Currently Open,Does Not Provide Abortions,No,,,,,,7/24/20
Women's Health Center,"850 Sequoia Cir, Fort Bragg, CA 95437",850 Sequoia Cir,Fort Bragg,CA,95437,(707) 964-0259,http://www.fortbragg.com/directory/womens-health-center/,Currently Open,Does Not Provide Abortions,No,,,,,,8/4/20
Women's Health Practice,"2125 South Neil Street, Champaign, IL 61820","2125 South Neil Street,",Champaign,IL,61820,(217) 356-3736,http://www.womenshealthpractice.com/,Currently Open,Does Not Provide Abortions,No,Yes,Yes,,,,8/11/20
Women's Health Specialists: Anderson Health Center,"2110 Ferry Street, Anderson, CA 96007",2110 Ferry Street,Anderson,CA,96007,(530) 221-0193,http://www.womenshealthspecialists.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/20
Women's Health Specialists: Phoenix Teen Clinic,"201 Washington Street, Petaluma, CA 94952",201 Washington Street,Petaluma,CA,94952,(707) 537-1171,http://www.womenshealthspecialists.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/20
Women's Health Specialists: Rancho Cordova,"10665 Coloma Road, Suite C & D, Rancho Cordova, CA 95670","10665 Coloma Road, Suite C & D",Rancho Cordova,CA,95670,(916) 451-0621,http://www.womenshealthspecialists.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/20
Women's Health Specialists: Sacramento,"1442 Ethan Way, Suite 100, Sacramento, CA 95825","1442 Ethan Way, Suite 100",Sacramento,CA,95825,(916) 451-0621,http://www.womenshealthspecialists.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/20
Women's Health Specialists: Santa Rosa,"3317 Chanate Road, Suite 2C, Santa Rosa, CA 95404","3317 Chanate Road, Suite 2C",Santa Rosa,CA,95404,(707) 537-1171,http://www.womenshealthspecialists.org/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/4/20
"Women's Healthcare of Kendall, LLC","10700 North Kendall Dr. Suite 200, Miami, FL 33176",10700 North Kendall Dr. Suite 200,Miami,FL,33176,(305) 270-7999,http://www.womensmd.net/our-office/index.php,Currently Open,Does Not Provide Abortions,No,,,,,,7/23/19
Women's Heathcare Center,"8311 Wisconsin Avenue, Suite C14, Bethesda, MD 20814","8311 Wisconsin Avenue, Suite C14",Bethesda,MD,20814,(301) 654-5225,http://www.womenhealthcarecenter.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,7/27/19
Women's Med: Cincinnati,"11250 Lebanon Rd, Sharonville, OH 45241",11250 Lebanon Rd,Sharonville,OH,45241,(513) 751-6000,http://www.womensmed.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/11/20
Women's Medical Center of Rhode Island,"215 Toll Gate Road, Suite 106, Warwick, RI 02886","215 Toll Gate Road, Suite 106",Warwick,RI,2886,(401) 467-9111,http://wmcri.com/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/26/20
Women's Pavilion,"2010 Ironwood Cir, South Bend, IN 46635",2010 Ironwood Cir,South Bend,IN,46635,(574) 272-1010,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/26/20
Women's Services,"4315 Lockwood Dr., Houston, TX 77026",4315 Lockwood Dr.,Houston,TX,77026,(281) 586-5224,http://www.chamberofcommerce.com/houston-tx/10612016-womens-services/,Currently Closed,Does Not Provide Abortions,No,,,,,,8/6/20
"Yvonne Fried, M.D.","540 Catalina Dr, Ashland, OR 97520",540 Catalina Dr,Ashland,OR,97520,(541) 482-5853,,Currently Closed,Does Not Provide Abortions,No,,,,,,7/22/20
American Women's Services: Toms River,"651 Route 37 West, Toms River, NJ 08755",651 Route 37 West,Toms River,NJ,8755,(800) 719-5333,http://www.americanwomensservices.com/,Currently Open,Does Not Provide Abortions,No,Yes,Yes,9w,14w,,8/26/20
"All Women's Health Centers: All Women's Health Center of Orlando, Inc.","1800 Pembrook Dr. Suite 300, Orlando, FL 32810",1800 Pembrook Dr. Suite 300,Orlando,FL,32810,(407) 335-4934,https://floridaabortion.com/profile/all-womens-health-center-of-orlando/,Currently Open,Does Not Provide Abortions,No,,,,,,8/13/20
A Capital Women's Health Clinic,"1511 Starling Drive, Richmond, VA 23229",1511 Starling Drive,Richmond,VA,23229, (804) 754-1928,http://www.capitalwomenshealth.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,15w,,8/6/20
A Choice For Women,"16601 NE 19th Ave, North Miami Beach, FL 33162",16601 NE 19th Ave,North Miami Beach,FL,33162,(305) 630-3363,http://www.achoiceforwomen.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,20w,,8/13/20
A GYN Diagnostic Center,"375 E. 49th St. Suite #2, Hialeah, FL 33013",375 E. 49th St. Suite #2,Hialeah,FL,33013,(305) 824-8816,http://www.agyndiagnostic.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,22w,,8/13/20
A Hallmark Women's Clinic: Fayetteville,"1919 Gillespie St., Fayetteville, NC 28306",1919 Gillespie St.,Fayetteville,NC,28306,(910) 323-3792,http://www.ahallmarkwomensclinic.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,20w,,8/13/20
A Hallmark Women's Clinic: Winston-Salem,"491 N Cleveland Ave., Winston-Salem, NC 27101",491 N Cleveland Ave.,Winston-Salem,NC,27101,(336) 725-4924,http://www.ahallmarkwomensclinic.com/,Currently Open,Provides Abortions,No,Yes,No,10.2w,,,8/13/20
A Hialeah Women's Care Center,"952 East 25th Street, Hialeah, FL 33013",952 East 25th Street,Hialeah,FL,33013,(305) 836-9701,http://ahialeahwomanscarecenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,13w,,8/13/20
A Preferred Women's Health Center: Atlanta Area,"531 Forest Parkway, Suite 100, Forest Park, GA 30297","531 Forest Parkway, Suite 100",Forest Park,GA,30297,(404) 758-9900,http://www.apwhc.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,12.6w,,8/13/20
A Preferred Women's Health Center: Augusta,"2903 Professional Parkway, Augusta, GA 30907",2903 Professional Parkway,Augusta,GA,30907,(706) 228-4545,http://www.apwhc.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,12.6w,,8/13/20
A Preferred Women's Health Center: Charlotte,"3220 Latrobe Dr., Charlotte, NC 28211",3220 Latrobe Dr.,Charlotte,NC,28211,(704) 665-4120,http://www.apwhc.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,16.6w,,8/13/20
A Preferred Women's Health Center: Raleigh,"1604 Jones Franklin Rd., Raleigh, NC 27606",1604 Jones Franklin Rd.,Raleigh,NC,27606,(919) 854-7888,http://www.apwhc.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,16.6w,,8/13/20
A Tidewater Women's Health Clinic,"891 Norfolk Square, Norfolk, VA 23502",891 Norfolk Square,Norfolk,VA,23502,(757) 461-0011,http://www.yourchoice-va.com/index.html,Currently Open,Provides Abortions,No,Yes,Yes,11w,16w,,8/6/20
A Woman's Care,"68 N. East 167th Street, North Miami, FL 33162",68 N. East 167th Street,North Miami,FL,33162,(305) 947-0885,https://awomanscarecenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,22w,2017,8/13/20
A Woman's Center of Hollywood,"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021","3829 Hollywood Blvd., Suite C",Hollywood,FL,33021,(954) 964-9528,https://awomanscenterofhollywood.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,22w,,8/13/20
A Woman's Choice,"18400 NW 75th Place #118, Hialeah, FL 33015",18400 NW 75th Place #118,Hialeah,FL,33015,(305) 558-4440,http://www.awomanschoicemiamilakes.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,22w,2017,8/13/20
A Woman's Choice of Charlotte,"421 North Wendover Road, Charlotte, NC 28211",421 North Wendover Road,Charlotte,NC,28211,(704) 367-2255,https://awomanschoiceinc.com/charlotte/,Currently Open,Provides Abortions,No,Yes,Yes,9w,20w,,8/13/20
"A Woman's Choice of Jacksonville, Inc.","4131 University Blvd S., Building #2, Jacksonville, FL 32216","4131 University Blvd S., Building #2",Jacksonville,FL,32216,(904) 299-8646 or (904) 733-1178,https://www.awomanschoiceinc.com/awc-jacksonville,Currently Open,Provides Abortions,No,Yes,Yes,10w,20w,,8/13/20
A Woman's Option Clinic / Gynecology and More,"1933 West 60th Street, Hialeah, FL 33012",1933 West 60th Street,Hialeah,FL,33012,(305) 824-1788,https://www.gynecologyandmore.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,22w,,8/13/20
A Woman's World Medical Center,"503 South 12th Street, Ft. Pierce, FL 34950",503 South 12th Street,Ft. Pierce,FL,34950,(772) 460-1506,http://www.awwmc.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,16.5w,,8/13/20
A Women's Choice of Greensboro,"2425 Randleman Road, Greensboro, NC 27406",2425 Randleman Road,Greensboro,NC,27406,(336) 273-9485,http://awcgreensboro.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,20w,,8/13/20
A Women's Choice of Raleigh,"3305 Drake Circle, Raleigh, NC, 27607",3305 Drake Circle,Raleigh,NC,27607,(919) 781-6811,http://www.awomanschoiceinc.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,20w,,8/13/20
A Women's Medical Center for Family Planning,"1125 E 17th St, Suite East-108, Santa Ana, CA 92701","1125 E 17th St, Suite East-108",Santa Ana,CA,92701,(714) 547-9495,http://familyplanningmedcenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,24w,,8/10/20
A-All Women Care Abortion Clinic,"7908 W. Sahara Ave., Las Vegas, NV 89117",7908 W. Sahara Ave.,Las Vegas,NV,89117,(702) 531-5400,http://www.lvgyn.com,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,6/8/20
A-Z Women's Center,"1670 East Flamingo Road, Suite C, Las Vegas, NV 89119","1670 East Flamingo Road, Suite C",Las Vegas,NV,89119,(702) 892-0660,https://www.drramoslasvegas.com/,Currently Open,Provides Abortions,No,Yes,Yes,9.6w,24w,,6/8/20
Aaron Women's Center: Houston,"2505 N. Shepherd Dr. St. 201, Houston, TX 77008",2505 N. Shepherd Dr. St 201,Houston,TX,77008,(713) 272-6900,https://www.aaronclinichouston.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,21w,,7/29/20
Aastra Women's Center,"10 Southwest 44th Avenue, Plantation, FL 33317",10 Southwest 44th Avenue,Plantation,FL,33317,(954) 792-9198,http://www.aastrawomenscenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,7w,14w,,8/13/20
Abortion Care,"516 Easton Ave, Somerset, NJ 08873",516 Easton Ave,Somerset,NJ,8873,(732) 408-6182,http://www.gynchoicesofcentraljersey.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/17/20
Abortion Pill NYC,"800 2nd Avenue, 6th Floor, New York, NY 10017","800 2nd Ave, 6th Floor",New York,NY,10017,(646) 898-2122,https://abortionpillnyc.com/en/,Currently Open,Provides Abortions,Yes,Yes,Yes,10w,26w,,8/20/20
Abortion Surgery Center,"2453 Wilcox Drive, Norman, OK 73069",2453 Wilcox Drive,Norman,OK,73069,(405) 329-8120,http://www.abortionsurgerycenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,6w,12w,,7/27/20
Abortionclinics.org: Clinic for Abortion and Reproductive Excellence (CARE) Bethesda,"10401 Old Georgetown Road, Suite 104, Bethesda, MD 20814","10401 Old Georgetown Road, Suite 104",Bethesda,MD,20814,(301) 517-6810,https://abortionclinics.org/clinics/bethesda-maryland.html,Currently Open,Provides Abortions,No,Yes,Yes,11w,27.6w,,7/13/20
Acacia Women's Center,"1615 East Osborn Road, Phoenix, AZ 85016",1615 East Osborn Road,Phoenix,AZ,85016,(602) 462-5559,https://abortionclinicsarizona.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,17w,,7/22/20
Advanced Woman's Care Center,"2742 S.W. 8th Street Suite #20, Miami, FL 33135",2742 S.W. 8th Street Suite #20,Miami,FL,33135,(786) 217-2596,https://www.advancedwomanscare.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,23w,,8/13/20
Affiliated Medical Services,"1428 N. Farwell Avenue, Milwaukee, WI 53202",1428 N. Farwell Avenue,Milwaukee,WI,53202,(414) 278-0424,http://www.affiliatedmedicalservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,10.6w,21.6w,,8/13/20
"Alabama Women's Center for Reproductive Alternatives, LLC","1011 Monticello Court, Montgomery, AL 36117",4831 Sparkman Drive NW,Huntsville,AL,35810,(256) 536-2231,http://www.alabamawomensclinic.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,21w,,7/22/20
Alamo Women's Reproductive Services,"7402 John Smith Dr, #101, San Antonio, TX 78229","7402 John Smith Dr, #101",San Antonio,TX,78229,(210) 614-4742,http://www.alamowomensclinic.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,22w,,7/28/20
Alexandria Women's Health Clinic,"5999 Stevenson Ave. Suite 403, Alexandria, VA 22304",5999 Stevenson Ave. Suite 403,Alexandria,VA,22304,(703) 370-0550,http://www.alexandriawomensclinic.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,12w,,8/1/19
All Families Healthcare,"737 Spokane Avenue, Whitefish, MT 59937",737 Spokane Avenue,Whitefish,MT,59937,(406) 730-8682,https://www.allfamilieshealth.org/,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,2018,7/22/20
All Valley Women's Care: Aspen,"401 Castle Creek Road, Aspen, CO 81611 ",1130 Alpine Avenue,Boulder,CO,80304,(970) 925-9480,https://allvalleywomen.com/services,Currently Open,Provides Abortions,No,Yes,No,8w,,,7/27/20
All Valley Women's Health Care: Basalt,"1450 E Valley Rd, Basalt, CO 81621",1450 E Valley Rd,Basalt,CO,81621,(970) 927-1717,https://allvalleywomen.com/services,Currently Open,Provides Abortions,No,Yes,No,8w,,,7/27/20
All Women's Care,"444 Community Drive, LL 3, Manhasset, NY 11030","444 Community Drive, LL 3",Manhasset,NY,11030,(516) 365-1600,http://www.allwomenscare.com,Currently Open,Provides Abortions,No,Yes,Yes,8w,12w,,8/20/20
All Women's Care,"9730 3rd Ave NE, Suite 200, Seattle, WA 98115","9730 3rd Ave NE, Suite 200",Seattle,WA,98115,(206) 985-9553,http://www.awcseattle.com,Currently Open,Provides Abortions,No,No,Yes,,26w,,7/13/20
All Women's Health,"3711 Pacific Ave #200, Tacoma, WA 98418",3711 Pacific Ave #200,Tacoma,WA,98418,(253) 471-3464,https://awhtacoma.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,26w,,7/13/20
All Women's Health Centers: All Women's Health Center Inc. (St. Petersburg),"4131 Central Avenue, St. Petersburg, FL 33713",4131 Central Avenue,St. Petersburg,FL,33713,(727) 327-3300,http://www.floridaabortion.com/locations/stpetersburg.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
All Women's Health Centers: All Women's Health Center of Gainesville Inc.,"1135 N. W. 23rd Avenue, Suite N, Gainesville, FL 32609","1135 N. W. 23rd Avenue, Suite N",Gainesville,FL,32609,(352) 378-9191,http://www.floridaabortion.com/locations/gainesville.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
"All Women's Health Centers: All Women's Health Center of Jacksonville, Inc.","1545 Huffingham Road, Jacksonville, FL 32216",1545 Huffingham Road,Jacksonville,FL,32216,(904) 731-2755,http://www.floridaabortion.com/locations/jacksonville.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
All Women's Health Centers: All Women's Health Center of North Tampa,"14498 University Cove Place, Tampa, FL 33613",14498 University Cove Place,Tampa,FL,33613,(813) 978-1919,http://www.floridaabortion.com/locations/tampaN.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,22w,,8/13/20
"All Women's Health Centers: All Women's Health Center of Orlando, Inc. (Altamonte Springs)","431 Maitland Avenue, Altamonte Springs, FL 32701",431 Maitland Avenue,Altamonte Springs,FL,32701,(407) 834-2262,http://www.floridaabortion.com/locations/altamontesprings.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,22w,,8/13/20
"All Women's Health Centers: All Women's Health Center of Sarasota, Inc.","2700 South Tamiami Trail, Suite 5, Sarasota, FL 34239","2700 South Tamiami Trail, Suite 5",Sarasota,FL,34239,(941) 366-7066,http://www.floridaabortion.com/locations/sarasota.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
All Women's Health Centers: All Women's Health Center of Tampa,"3330 West Kennedy Blvd., Tampa, FL 33609",3330 West Kennedy Blvd.,Tampa,FL,33609,813-874-0505,http://www.floridaabortion.com/locations/tampa.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
"All Women's Health Centers: Ft. Myers Women's Health Center, Inc.","3677 Central Avenue, Suite H, Ft. Myers, FL 33901","3677 Central Avenue, Suite H",Ft. Myers,FL,33901,(239) 936-4494,http://www.floridaabortion.com/locations/ftmyers.shtml,Currently Open,Provides Abortions,No,Yes,Yes,11w,13w,,8/13/20
"All Women's Health Centers: Lakeland Women's Health Center, Inc.","4444 S. Florida Avenue, Lakeland, FL 33813",4444 S. Florida Avenue,Lakeland,FL,33813,(863) 644-7541,http://www.floridaabortion.com/locations/lakeland.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,17w,,8/13/20
"All Women's Health Centers: Women's OB/GYN Center of Countryside, Inc. (Clearwater)","28960 U.S. Highway 19 North, Suite 110, Clearwater, FL 33761","28960 U.S. Highway 19 North, Suite 110",Clearwater,FL,33761,(727) 785-2525,http://floridaabortion.com/locations/clearwater.shtml,Currently Open,Provides Abortions,No,Yes,Yes,10w,13w,,8/13/20
All Women's Medical Center,"3140 W Irving Park, Chicago, IL 60618",3140 W Irving Park,Chicago,IL,60618,(773) 816-5338,https://www.allwomensmedicalcenter.com/,Currently Open,Provides Abortions,No,Yes,No,10w,,,8/11/20
"All Women's Medical Office Based Surgery, PLLC: All Women's Health & Medical Services","222 Mamaroneck Avenue, White Plains, NY 10605",222 Mamaroneck Avenue,White Plains,NY,10605,(888) 644-0999,http://www.nyabortion.com,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,8/20/20
"All Women's Medical Office Based Surgery, PLLC: All Women's Medical Pavillion","120-34 Queens Boulevard, Suite 420, Kew Gardens, NY 11415","120-34 Queens Boulevard, Suite 420",Kew Gardens,NY,11415,(866) 340-1943,http://www.nyabortion.com,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,8/20/20
"All Women's Medical Office Based Surgery, PLLC: Westside Women's Medical Pavillion","1841 Broadway, Suite #1011, New York, NY 10023","1841 Broadway, Suite #1011",New York,NY,10023,(877) 894-1841,http://www.nyabortion.com,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,8/20/20
Allegheny Reproductive Health Center,"5910 Kirkwood St, Pittsburgh, PA 15206",5910 Kirkwood St,Pittsburgh,PA,15206,(412) 516-3791,http://www.alleghenyreproductive.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,23.6w,,8/13/20
Allentown Women's Center,"31 South Commerce Way, Suite 100, Bethlehem, PA 18017","31 South Commerce Way, Suite 100",Bethlehem,PA,18017,(484) 821-0821,https://allentownwomenscenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,23w,,8/13/20
Alliance Women's Medical Group,"1930 Wilshire Boulevard, Suite 500, Los Angeles, CA 90057","1930 Wilshire Boulevard, Suite 500",Los Angeles,CA,90057,(213) 353-4971,http://alliancewomensmedicalgroup.biz/,Currently Open,Provides Abortions,No,Yes,Yes,9w,24w,,8/10/20
American Woman's Services: Fairfax,"8316 Arlington Blvd, Fairfax, VA 22031",8316 Arlington Blvd,Fairfax,VA,22031,(800) 854-7280,https://www.americanwomensservices.com/office_locations/va/fairfax.php,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,8/6/20
American Woman's Services: Virginia Beach - Virginia Women's Wellness,"224 Groveland Road, 2nd floor, Virginia Beach, VA 23452","224 Groveland Road, 2nd floor",Virginia Beach,VA,23452,(757) 306-4706,https://www.americanwomensservices.com/office_locations/va/virginia_beach.php,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,8/6/20
American Women's Medical Center: Amer Family Planning,"2744 N. Western Ave, Chicago, IL 60647",2744 N. Western Ave,Chicago,IL,60647,(773) 772-7726,http://www.americanwomensmedicalcenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.5w,,8/11/20
American Women's Medical Center: Des Plaines,"110 S. River Road (US45), Suite 7, Des Plaines, IL 60016","110 S. River Road (US45), Suite 7",Des Plaines,IL,60016,(847) 294-9614,http://www.americanwomensmedicalcenter.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.5w,,8/11/20
American Women's Services: Cheverly,"6005 Landover Rd, Suite #6, Cheverly, MD 20785","6005 Landover Rd, Suite #6",Cheverly,MD,20785,(301) 345-9006 or (800) 364-2234,https://www.americanwomensservices.com/,Temporarily Closed,Provides Abortions,No,Yes,Yes,9w,24w,,8/26/20
American Women's Services: Elizabeth,"700 N. Broad Street, Suite 202, Elizabeth, NJ 07208","700 N. Broad Street, Suite 202",Elizabeth,NJ,7208,(908) 352-2992,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,12w,,8/14/20
American Women's Services: Englewood,"200 Grand Avenue, Suite 101, Englewood, NJ 07631","200 Grand Avenue, Suite 101",Englewood,NJ,7631,(201) 567-7600,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,8/14/20
American Women's Services: Galloway,"333 Jimmie Leeds Road, Unit 5, Galloway, NJ 08205","333 Jimmie Leeds Road, Unit 5",Galloway,NJ,8205,(609) 429-5500,http://www.americanwomensservices.com/office_locations/nj/galloway.php,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,2017,8/14/20
American Women's Services: Hamilton,"1345 Kuser Road, Suite 1, Hamilton, NJ 08619","1345 Kuser Road, Suite 1",Hamilton,NJ,8619,(609) 503-4751,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,12w,,8/14/20
American Women's Services: Phillipsburg,"157 S. Main Street, Phillipsburg, NJ 08865",157 S. Main Street,Phillipsburg,NJ,8865,(908) 213-1010,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,8/14/20
American Women's Services: Silver Spring,"9801 Georgia Avenue, Suite 338, Silver Spring, MD 20902","9801 Georgia Avenue, Suite 338",Silver Spring,MD,20902,(301) 686-8558 or (800) 576-3339,https://www.americanwomensservices.com/,Temporarily Closed,Provides Abortions,No,Yes,Yes,9w,24w,,8/26/20
American Women's Services: Voorhees,"600 Somerdale Road, Suite 206, Voorhees, NJ 08043","600 Somerdale Road, Suite 206",Voorhees,NJ,8043,(856) 427-6245,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,14w,,8/14/20
American Women's Services: Woodbridge,"228 Main Street, Woodbridge, NJ 07095",228 Main Street,Woodbridge,NJ,7095,(732) 527-1306,http://www.americanwomensservices.com/,Currently Open,Provides Abortions,No,Yes,Yes,9w,12w,,8/14/20
"Amy R. Cousins, MD","149 Vestal Parkway West, Vestal, NY 13851",149 Vestal Parkway West,Vestal,NY,13851,(607) 785-4171,http://www.amycousinsmd.com/,Currently Open,Provides Abortions,No,Yes,Yes,8w,13w,,8/20/20
Anna Jaques Hospital,"25 Highland Ave., Newburyport, MA 01950",25 Highland Ave.,Newburyport,MA,1950,(978) 463 - 1000 or (978) 556-0100,http://www.ajh.org/,Currently Open,Provides Abortions,No,No,Yes,,12w,,8/11/20
"Arjang Naim, MD: North Vermont Avenue","1407 North Vermont Ave, Suite A, Los Angeles, CA 90027","1407 North Vermont Ave, Suite A",Los Angeles,CA,90027,(323) 913-3377,http://www.womenshealthmd.com,Currently Open,Provides Abortions,No,Yes,Yes,10w,10w,2017,8/10/20
"Arjang Naim, MD: West 3rd Street","8631 West 3rd Street, Suite 444E, Los Angeles, CA 90048","8631 West 3rd Street, Suite 444E",Los Angeles,CA,90048,(310) 652-8141,http://www.womenshealthmd.com,Currently Open,Provides Abortions,No,Yes,Yes,11w,11w,2017,8/10/20
Atlanta Comprehensive Wellness Clinic,"1874 Piedmont Ave NE, Suite 570E, Atlanta, GA 30324","1874 Piedmont Ave NE, Suite 570E",Atlanta,GA,30324,(770) 212-9660,http://acwcmidtownabortionclinic.com/,Currently Open,Provides Abortions,No,Yes,Yes,11w,14w,,8/13/20
Atlanta Surgicenter,"3114 Mercer University Drive, Suite 100, Atlanta, GA 30341","3114 Mercer University Drive, Suite 100",Atlanta,GA,30341,(404) 892-8608,http://www.atlantasurgicenter.com/index.html,Temporarily Closed,Provides Abortions,No,Yes,Yes,8w,14w,,7/24/19
Atlanta Women's Center,"235 West Wieuca Road NE, Atlanta, GA 30342",235 West Wieuca Road NE,Atlanta,GA,30342,(404) 257-0057,https://thewomenscenters.com/atlantawomenscenter/,Currently Open,Provides Abortions,No,Yes,Yes,11w,22w,,8/13/20
Austin Women's Health Center,"1902 S IH-35, Suite A, Austin, TX 78704","1902 S IH-35, Suite A",Austin,TX,78704,(512) 443-2888,http://www.austinwomenshealth.com/,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.6w,,7/29/20
Baystate Health: Wesson Women's Group,"3300 Main Street, Suite 4D, Springfield, MA 01107",3300 Main Street. Suite 4D,Springfield,MA,1107,(413) 794-7045,https://www.baystatehealth.org/locations/tolosky-center/wesson-womens-group,Currently Open,Provides Abortions,Yes,Yes,Yes,9.6w,21w,,8/11/20
Berkshire Medical Center: Gynecology ,"725 North Street, Pittsfield, MA, 01201",725 North Street,Pittsfield,MA,1201,(413) 499-8570,http://www.berkshirehealthsystems.org/GynocologyPhysicianServices,Currently Open,Provides Abortions,No,Yes,Yes,"7w, sometimes 10w",12.6w,,9/4/19
Beth Israel Lahey Health: Beth Israel Deaconess Medical Center,"330 Brookline Avenue, Boston, MA 02215",330 Brookline Ave,Boston,MA,2215,(617) 667-8859 or (617) 667-4600,https://www.bidmc.org/centers-and-departments/obstetrics-and-gynecology/programs-and-services/family-planning,Currently Open,Provides Abortions,Yes,Yes,Yes,9w,16+w,,7/28/20
Birth Control Care Center,"872 E. Sahara Avenue, Las Vegas, NV 89104",872 E. Sahara Avenue,Las Vegas,NV,89104,(702) 733-7889,https://birthcontrolcarecenter.com/home,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,6/8/20
Blue Coral Women's Care Inc.,"7360 Coral Way, Ste. 16, Miami, FL 33155","7360 Coral Way, Ste. 16",Miami,FL,33155,(305) 264-4940,https://www.facebook.com/Blue-Coral-Womens-Care-379251045480632/info/?tab=page_info,Currently Open,Provides Abortions,No,Yes,Yes,6w,10w,,8/13/20
Blue Mountain Clinic Family Practice,"610 N. California Street, Missoula, MT 59802",610 N. California Street,Missoula,MT,59802,(406) 721-1646,https://www.bluemountainclinic.org/,Currently Open,Provides Abortions,No,Yes,Yes,10w,16w,,7/22/20
Boston Medical Center,"One Boston Medical Center Place, Boston, MA 02118",One Boston Medical Center Place,Boston,MA,2118,(617) 638-8000,https://www.bmc.org/department-obstetrics-and-gynecology/beacon-family-planning-and-pregnancy-loss-services/abortion,Currently Open,Provides Abortions,Yes,Yes,Yes,10w,21w,,7/28/20
