fid,SVIth1,SVIth2,SVIth3,SVIth4,SVIS,GEOID
"429",0.2229,0.3789,0.5279,0.5138,0.3331,"21209"
"430",0.3729,0.3149,0.7408,0.384,0.4261,"21211"
"431",0.4981,0.3254,0.5349,0.0758,0.2879,"21213"
"432",0.2006,0.1716,0.1665,0.0267,0.0369,"21215"
"433",0.5232,0.4027,0.7606,0.8806,0.7096,"21227"
"434",0.6283,0.4785,0.4693,0.3486,0.5127,"21229"
"435",0.2723,0.382,0.6135,0.0637,0.2041,"21239"
"436",0.4882,0.4718,0.6488,0.6635,0.5876,"22015"
"437",0.5643,0.7905,0.6138,0.7829,0.7392,"22019"
"438",0.4283,0.2989,0.7911,0.8376,0.6217,"22055"
"439",0.386,0.511,0.4295,0.5215,0.4309,"22063"
"440",0.6589,0.5355,0.4893,0.6027,0.6299,"22093"
"441",0.8659,0.7692,0.8672,0.7908,0.9162,"22101"
"442",0.2748,0.4951,0.6893,0.1818,0.3105,"22103"
"443",0.8363,0.9026,0.7001,0.717,0.8885,"22105"
"444",0.8041,0.7956,0.7749,0.8507,0.8952,"22109"
"445",0.8115,0.7202,0.702,0.6224,0.8201,"22113"
"446",0.7468,0.6081,0.5769,0.6476,0.7433,"22115"
"447",0.3452,0.6135,0.4339,0.8806,0.5567,"23001"
"448",0.0373,0.042,0.4791,0.5925,0.1363,"23005"
"449",0.3611,0.212,0.1213,0.3677,0.215,"23007"
"450",0.1525,0.3461,0.1095,0.5403,0.193,"23009"
"451",0.2968,0.4196,0.1999,0.8122,0.3787,"23011"
"452",0.1357,0.2703,0.0602,0.4677,0.1475,"23013"
"453",0.5417,0.5126,0.0933,0.4145,0.3726,"23017"
"454",0.4191,0.4034,0.1385,0.8612,0.4532,"23019"
"455",0.0376,0.171,0.2362,0.1541,0.0522,"23023"
"456",0.7576,0.7313,0.1579,0.5648,0.622,"23025"
"457",0.3334,0.5094,0.049,0.2986,0.2197,"23027"
"458",0.6777,0.823,0.341,0.5231,0.6439,"23029"
"459",0.0748,0.1528,0.2451,0.2811,0.0936,"23031"
"460",0.129,0.1668,0.4413,0.0146,0.0471,"24009"
"461",0.036,0.0519,0.3429,0.1831,0.0404,"24013"
"462",0.2736,0.2168,0.4967,0.4454,0.2933,"24015"
"463",0.085,0.1041,0.766,0.206,0.1589,"24021"
"464",0.2615,0.3292,0.0653,0.3582,0.1812,"24023"
"465",0.0933,0.0821,0.5562,0.1394,0.0933,"24025"
"466",0.0255,0.0643,0.5339,0.0296,0.022,"24035"
"467",0.1105,0.2369,0.5718,0.3333,0.2086,"24037"
"468",0.4627,0.5317,0.5801,0.8007,0.614,"24043"
"469",0.272,0.4438,0.5533,0.6004,0.4083,"25003"
"470",0.015,0.0735,0.4887,0.008,0.0096,"25007"
"471",0.1634,0.1885,0.4855,0.3706,0.2096,"25011"
"472",0.0102,0.0414,0.5928,0.0716,0.0268,"25019"
"473",0.1159,0.1668,0.7195,0.3515,0.2303,"25023"
"474",0.2064,0.171,0.4202,0.2506,0.1758,"26005"
"475",0.4682,0.6683,0.1194,0.3222,0.3408,"26007"
"476",0.2121,0.2111,0.1697,0.1102,0.0869,"26015"
"477",0.558,0.6663,0.2671,0.3241,0.4404,"26017"
"478",0.4914,0.6205,0.6527,0.7364,0.6475,"26021"
"479",0.4879,0.6345,0.5193,0.7896,0.6315,"26023"
"480",0.4392,0.7186,0.3184,0.1633,0.328,"26027"
"481",0.1427,0.2617,0.1897,0.1687,0.0968,"26029"
"482",0.0774,0.0847,0.3349,0.0831,0.0401,"26037"
"483",0.3223,0.8214,0.121,0.4807,0.3545,"26041"
"484",0.2404,0.5979,0.099,0.3824,0.2296,"26043"
"485",0.1439,0.2381,0.2073,0.2993,0.1357,"26047"
"486",0.122,0.1506,0.2884,0.5415,0.1803,"26055"
"487",0.5344,0.4091,0.2283,0.7504,0.5019,"26059"
"488",0.6268,0.028,0.3607,0.9306,0.4962,"26061"
"489",0.4236,0.4413,0.1334,0.2897,0.2745,"26063"
"490",0.4513,0.2754,0.2919,0.8306,0.478,"26067"
"491",0.4812,0.5559,0.3795,0.7599,0.5506,"26075"
"492",0.7213,0.7402,0.1261,0.3123,0.5083,"26079"
"493",0.3487,0.1439,0.3875,0.2999,0.2382,"26087"
"494",0.3446,0.5473,0.5154,0.4206,0.4076,"26091"
"495",0.029,0.0433,0.1665,0.0516,0.0067,"26093"
"496",0.3166,0.1961,0.7386,0.313,0.3296,"26099"
"497",0.4287,0.0748,0.3276,0.5804,0.3057,"26103"
"498",0.392,0.6625,0.2426,0.327,0.3376,"26105"
"499",0.7156,0.1878,0.1573,0.9258,0.5975,"26107"
"500",0.2768,0.5785,0.1611,0.4193,0.2764,"26109"
"501",0.1987,0.1624,0.1987,0.3999,0.1618,"26111"
"502",0.6271,0.7873,0.2209,0.2802,0.4755,"26113"
"503",0.2389,0.2159,0.2455,0.2187,0.1494,"26115"
"504",0.5971,0.7367,0.2751,0.7233,0.6127,"26117"
"505",0.6293,0.7348,0.418,0.788,0.7035,"26121"
"506",0.6723,0.7456,0.4132,0.4963,0.6318,"26123"
"507",0.7436,0.8914,0.7348,0.7281,0.858,"26127"
"508",0.7411,0.9016,0.155,0.7724,0.7401,"26133"
"509",0.4083,0.7816,0.0837,0.4508,0.3694,"26137"
"510",0.1182,0.0805,0.6469,0.4877,0.2172,"26139"
"511",0.6178,0.7536,0.6065,0.6399,0.7048,"26145"
"512",0.4108,0.4632,0.2483,0.2289,0.279,"26147"
"513",0.5478,0.8004,0.5858,0.5756,0.6516,"26149"
"514",0.6331,0.6784,0.2814,0.3002,0.4834,"26151"
"515",0.2822,0.3531,0.0926,0.1401,0.1325,"26155"
"516",0.5688,0.462,0.1971,0.382,0.3959,"26157"
"517",0.5621,0.531,0.6762,0.6842,0.6589,"26159"
"518",0.6191,0.8376,0.1197,0.3945,0.5035,"26165"
"519",0.0322,0.1748,0.6663,0.2136,0.1404,"27003"
"520",0.1908,0.6848,0.3158,0.439,0.299,"27005"
"521",0.0608,0.2684,0.2674,0.3228,0.1274,"27015"
"522",0.2073,0.3047,0.2152,0.6641,0.2666,"27017"
"523",0.1449,0.6492,0.6106,0.4575,0.3522,"27023"
"524",0.0449,0.1226,0.1086,0.2862,0.0592,"27025"
"525",0.6949,0.8647,0.411,0.8332,0.7917,"27029"
"526",0.3051,0.7428,0.6253,0.4413,0.4726,"27033"
"527",0.0898,0.5692,0.0675,0.2528,0.1223,"27035"
"528",0.0258,0.2245,0.0764,0.2098,0.0446,"27041"
"529",0.1812,0.384,0.2849,0.1894,0.157,"27043"
"530",0.1589,0.3537,0.306,0.4161,0.2169,"27045"
"531",0.3025,0.7335,0.6431,0.3343,0.4328,"27047"
"532",0.0758,0.1964,0.3827,0.432,0.1707,"27049"
"533",0.1191,0.5575,0.0965,0.121,0.0946,"27051"
"534",0.0274,0.1557,0.1105,0.0872,0.0185,"27055"
"535",0.136,0.3623,0.0977,0.1977,0.1022,"27059"
"536",0.2818,0.4117,0.192,0.6921,0.3293,"27061"
"537",0.0455,0.17,0.34,0.0382,0.0306,"27063"
"538",0.2959,0.6686,0.0675,0.4534,0.2841,"27065"
"539",0.2143,0.4495,0.7421,0.5119,0.4064,"27067"
"540",0.0955,0.1834,0.022,0.4607,0.0997,"27069"
"541",0.4481,0.6718,0.2416,0.5135,0.4366,"27071"
"542",0.0863,0.1853,0.4712,0.1757,0.1146,"27079"
"543",0.0621,0.3983,0.4238,0.1503,0.1261,"27085"
"544",0.1615,0.2467,0.3216,0.2009,0.1411,"27089"
"545",0.1831,0.6651,0.2057,0.2315,0.1933,"27091"
"546",0.0557,0.3496,0.3642,0.4355,0.1869,"27093"
"547",0.2643,0.4234,0.1948,0.4935,0.2682,"27097"
"548",0.1917,0.319,0.5043,0.6113,0.3248,"27107"
"549",0.1108,0.2553,0.3881,0.4753,0.2099,"27111"
"550",0.4315,0.3741,0.3101,0.7393,0.4631,"27115"
"551",0.0315,0.2302,0.0729,0.1324,0.0315,"27121"
"552",0.1111,0.3938,0.1843,0.3225,0.1525,"27125"
"553",0.2045,0.6164,0.2665,0.2827,0.2293,"27127"
"554",0.179,0.2388,0.4247,0.3018,0.1968,"27129"
"555",0.099,0.4247,0.2292,0.2954,0.1532,"27133"
"556",0.1312,0.2677,0.3843,0.5747,0.2478,"27135"
"557",0.2685,0.1535,0.2483,0.8182,0.3118,"27137"
"558",0.0962,0.1754,0.6342,0.1312,0.1315,"27143"
"559",0.1697,0.3244,0.4811,0.5699,0.3013,"27147"
"560",0.2385,0.7007,0.4604,0.3012,0.3213,"27151"
"561",0.3863,0.476,0.5575,0.5743,0.4812,"27153"
"562",0.0522,0.1958,0.2837,0.1152,0.0589,"27157"
"563",0.1455,0.3282,0.4578,0.4346,0.2503,"27161"
"564",0.0054,0.1458,0.5645,0.1293,0.0682,"27163"
"565",0.0366,0.5546,0.0716,0.6804,0.1924,"27167"
"566",0.2201,0.7743,0.4295,0.3464,0.3344,"27173"
"567",0.8557,0.7358,0.5498,0.2483,0.6955,"28003"
"568",0.307,0.4132,0.7319,0.1414,0.3032,"28033"
"569",0.6927,0.9039,0.2967,0.3085,0.5924,"28045"
"570",0.6882,0.7319,0.1808,0.4562,0.5487,"28057"
"571",0.6439,0.7574,0.6654,0.1433,0.5433,"28059"
"572",0.664,0.8055,0.6533,0.7663,0.7952,"28081"
"573",0.1723,0.3279,0.7959,0.2693,0.2898,"28089"
"574",0.815,0.3161,0.5791,0.5368,0.6904,"28093"
"575",0.7761,0.6956,0.4352,0.3524,0.6398,"28095"
"576",0.7736,0.8017,0.3703,0.5154,0.7051,"28109"
"577",0.2057,0.2209,0.5466,0.5823,0.3127,"28121"
"578",0.6124,0.7571,0.3868,0.1942,0.4732,"28129"
"579",0.8605,0.9653,0.7163,0.7861,0.9306,"28159"
"580",0.6637,0.8064,0.4037,0.7689,0.7347,"28161"
"581",0.1481,0.2693,0.0404,0.0423,0.0325,"29003"
"582",0.7322,0.4973,0.4438,0.4737,0.615,"29007"
"583",0.6525,0.951,0.1315,0.4604,0.5994,"29011"
"584",0.4013,0.8832,0.0837,0.404,0.3857,"29013"
"585",0.549,0.6272,0.6078,0.8571,0.7182,"29021"
"586",0.3685,0.7386,0.1999,0.6855,0.4513,"29025"
"587",0.4634,0.1188,0.3922,0.7275,0.4118,"29031"
"588",0.7041,0.7787,0.1503,0.3687,0.5325,"29033"
"589",0.1459,0.3986,0.3989,0.0684,0.1188,"29037"
"590",0.8271,0.9946,0.0417,0.2018,0.6411,"29039"
"591",0.3312,0.6406,0.0337,0.1767,0.1898,"29041"
"592",0.2468,0.404,0.2359,0.1248,0.1497,"29043"
"593",0.3787,0.7482,0.2518,0.2986,0.342,"29045"
"594",0.0732,0.2541,0.5826,0.1442,0.1363,"29047"
"595",0.2764,0.7049,0.1433,0.0786,0.1643,"29049"
"596",0.2,0.2662,0.3789,0.5145,0.2583,"29051"
"597",0.8513,0.7902,0.1859,0.4327,0.6637,"29057"
"598",0.6701,0.9799,0.2305,0.5444,0.7019,"29059"
"599",0.4637,0.6151,0.2241,0.6533,0.4707,"29061"
"600",0.3054,0.3075,0.1016,0.17,0.1459,"29071"
"601",0.2659,0.4333,0.0764,0.0443,0.0854,"29073"
"602",0.55,0.6743,0.114,0.4635,0.4389,"29075"
"603",0.5118,0.8093,0.4317,0.6759,0.6185,"29079"
"604",0.6551,0.9965,0.3935,0.4002,0.7417,"29081"
"605",0.6869,0.8083,0.1923,0.539,0.5959,"29083"
"606",0.3363,0.5097,0.0162,0.256,0.1959,"29087"
"607",0.4968,0.5269,0.262,0.4101,0.4041,"29089"
"608",0.6911,0.9096,0.1223,0.6909,0.6717,"29091"
"609",0.6197,0.5957,0.6281,0.5813,0.6564,"29097"
"610",0.3459,0.3547,0.2069,0.1547,0.1863,"29099"
"611",0.7363,0.9892,0.0153,0.2235,0.557,"29103"
"612",0.7478,0.7377,0.1127,0.6256,0.6178,"29105"
"613",0.3089,0.7361,0.2321,0.5842,0.3882,"29107"
"614",0.7475,0.8956,0.5766,0.5333,0.7866,"29109"
"615",0.4022,0.617,0.1611,0.276,0.2939,"29113"
"616",0.4105,0.9128,0.0675,0.1006,0.272,"29115"
"617",0.5917,0.9567,0.1859,0.4514,0.586,"29121"
"618",0.6904,0.6479,0.1611,0.4129,0.5118,"29125"
"619",0.615,0.7151,0.1837,0.6033,0.5459,"29127"
"620",0.3401,0.6246,0.0933,0.4374,0.3045,"29129"
"621",0.6812,0.7058,0.0369,0.4893,0.501,"29131"
"622",0.4099,0.8669,0.2114,0.306,0.3876,"29137"
"623",0.6146,0.9347,0.0885,0.3973,0.5331,"29139"
"624",0.7525,0.7794,0.1697,0.5463,0.629,"29141"
"625",0.4118,0.4107,0.5403,0.4422,0.4341,"29145"
"626",0.2038,0.0876,0.0232,0.1691,0.0497,"29151"
"627",0.3338,0.6721,0.0544,0.2499,0.2312,"29157"
"628",0.7051,0.8765,0.6721,0.6412,0.8035,"29159"
"629",0.6978,0.297,0.4164,0.8265,0.6596,"29161"
"630",0.5605,0.7854,0.1433,0.823,0.5987,"29167"
"631",0.5911,0.9908,0.241,0.2537,0.5764,"29171"
"632",0.3854,0.2719,0.0866,0.0436,0.1045,"29173"
"633",0.464,0.5371,0.1047,0.1901,0.2573,"29177"
"634",0.0188,0.0825,0.3801,0.1213,0.0363,"29183"
"635",0.3669,0.6568,0.0866,0.0974,0.1885,"29186"
"636",0.1277,0.2588,0.7431,0.3273,0.2611,"29189"
"637",0.5981,0.7886,0.7545,0.8739,0.8162,"29195"
"638",0.4239,0.8494,0.1681,0.3712,0.3984,"29205"
"639",0.4207,0.7969,0.135,0.617,0.451,"29217"
"640",0.458,0.681,0.2728,0.3181,0.3841,"29219"
"641",0.4936,0.4674,0.0131,0.1862,0.2239,"29227"
"642",0.2424,0.1207,0.447,0.5094,0.2516,"30001"
"643",0.1583,0.3311,0.135,0.0232,0.042,"30007"
"644",0.0892,0.2833,0.3177,0.022,0.0433,"30009"
"645",0.2452,0.4709,0.2875,0.8564,0.4102,"30013"
"646",0.4264,0.2709,0.6049,0.6173,0.4799,"30015"
"647",0.0914,0.6746,0.2677,0.6593,0.2901,"30017"
"648",0.0363,0.0656,0.1009,0.5285,0.0752,"30021"
"649",0.0268,0.1248,0.0755,0.1471,0.0217,"30025"
"650",0.1688,0.3155,0.0885,0.7291,0.2376,"30027"
"651",0.1478,0.0844,0.1656,0.3098,0.0924,"30029"
"652",0.0768,0.0089,0.2372,0.4486,0.0427,"30031"
"653",0.0459,0.0637,0,0.1054,0.0076,"30033"
"654",0.1143,0.1751,0.0917,0.1328,0.0481,"30043"
"655",0.1564,0.1767,0.0287,0.0226,0.0162,"30045"
"656",0.5939,0.8625,0.5702,0.4253,0.6468,"30047"
"657",0.0825,0.1856,0.1541,0.454,0.1258,"30049"
"658",0.2799,0.1796,0.1665,0.0124,0.0465,"30059"
"659",0.2159,0.0287,0.3101,0.6714,0.178,"30063"
"660",0.0952,0.0579,0.2697,0.2557,0.0688,"30067"
"661",0.0296,0.0649,0.0045,0.0363,0.0029,"30069"
"662",0.6105,0.5361,0.2267,0.2945,0.4146,"30071"
"663",0.6025,0.9507,0.5441,0.8803,0.8296,"30073"
"664",0.0541,0.2436,0.0853,0.12,0.0392,"30075"
"665",0.4115,0.4791,0.0853,0.1098,0.186,"30081"
"666",0.0411,0.2124,0.553,0.5167,0.2121,"30083"
"667",0.0965,0.1347,0.1601,0.34,0.0949,"30091"
"668",0.0513,0.1611,0.2165,0.0926,0.036,"30095"
"669",0.2118,0.5524,0.0716,0.7383,0.2981,"30099"
"670",0.2462,0.2152,0.0175,0.0729,0.0567,"30103"
"671",0.215,0.2859,0.2639,0.1,0.1162,"30105"
"672",0.6742,0.5887,0.426,0.3359,0.5436,"30107"
"673",0.0761,0.2789,0.312,0.7453,0.2497,"30111"
"674",0.2675,0.3263,0.6285,0.4565,0.3592,"31001"
"675",0.2197,0.595,0.3075,0.0115,0.1032,"31003"
"676",0.0169,0.2283,0.3002,0.001,0.0041,"31007"
"677",0.0261,0.2627,0.1051,0.0904,0.0283,"31011"
"678",0.1892,0.0758,0.5915,0.6211,0.2656,"31019"
"679",0.222,0.7568,0.2436,0.276,0.2541,"31021"
"680",0.1175,0.4097,0.3763,0.0914,0.1172,"31023"
"681",0.0229,0.1337,0.1385,0.0493,0.0108,"31025"
"682",0.0799,0.3165,0.0306,0.0156,0.0121,"31027"
"683",0.1675,0.2308,0.6017,0.2929,0.2261,"31031"
"684",0.0717,0.3906,0.1882,0.2732,0.121,"31033"
"685",0.2583,0.5212,0.5591,0.0178,0.1646,"31035"
"686",0.2162,0.4505,0.5361,0.0933,0.1936,"31039"
"687",0.0946,0.8268,0.3282,0.1379,0.1818,"31041"
"688",0.3264,0.6829,0.702,0.1904,0.379,"31051"
"689",0.3771,0.6944,0.7393,0.5737,0.5691,"31053"
"690",0.0822,0.291,0.2627,0.0656,0.0618,"31059"
"691",0.2605,0.6358,0.1433,0.1621,0.1825,"31065"
"692",0.2242,0.362,0.1159,0.1264,0.1105,"31067"
"693",0.4589,0.1617,0.0118,0.1363,0.1328,"31075"
"694",0.0194,0.2865,0.0675,0.0185,0.0089,"31081"
"695",0.2987,0.1426,0.4998,0.0006,0.0436,"31085"
"696",0.0615,0.4104,0.3407,0.1086,0.0981,"31089"
"697",0.1997,0.4995,0.2044,0.0261,0.0803,"31093"
"698",0.2293,0.7514,0.4432,0.0793,0.2185,"31095"
"699",0.0771,0.2458,0.2932,0.1792,0.0939,"31099"
"700",0.0108,0.1582,0.0032,0.0032,0.001,"31103"
"701",0.2201,0.496,0.4565,0.4721,0.3277,"31107"
"702",0.1338,0.6982,0.333,0.7491,0.3675,"31111"
"703",0.1086,0.3114,0.2165,0.5587,0.1975,"31121"
"704",0.4124,0.808,0.7026,0.1172,0.422,"31123"
"705",0.1818,0.6157,0.0653,0.0487,0.0825,"31125"
"706",0.2541,0.3171,0.1821,0.2245,0.1659,"31127"
"707",0.1659,0.6224,0.545,0.1487,0.2287,"31131"
"708",0.0694,0.4202,0.2155,0.0439,0.0538,"31135"
"709",0.0392,0.2365,0.3954,0.2674,0.1226,"31137"
"710",0.0417,0.2471,0.1732,0.0385,0.0229,"31139"
"711",0.1978,0.2929,0.3973,0.2464,0.1908,"31143"
"712",0.2248,0.3827,0.2343,0.4365,0.2373,"31145"
"713",0.1981,0.745,0.1328,0.029,0.1025,"31147"
"714",0.049,0.4336,0.2365,0.0302,0.0424,"31155"
"715",0.4229,0.9074,0.7412,0.2878,0.5675,"31157"
"716",0.1398,0.1073,0.1178,0.0325,0.0178,"31165"
"717",0.0666,0.4387,0.4909,0.0057,0.057,"31167"
"718",0.1264,0.1449,0.007,0.0029,0.0035,"31171"
"719",0.0159,0.2579,0.2028,0.1038,0.0379,"31177"
"720",0.1927,0.673,0.1146,0.0611,0.1092,"31181"
"721",0.0723,0.1681,0.0022,0.0086,0.0048,"31183"
"722",0.0787,0.2655,0.4489,0.3604,0.1828,"31185"
"723",0.471,0.4085,0.8188,0.6358,0.6048,"32001"
"724",0.5618,0.6087,0.7361,0.3419,0.5783,"32019"
"725",0.1159,0.2219,0.1016,0.2356,0.0841,"33001"
"726",0.093,0.1117,0.2174,0.5556,0.1417,"33005"
"727",0.4497,0.6794,0.3305,0.6979,0.529,"33007"
"728",0.0713,0.0984,0.3836,0.6855,0.1882,"33009"
"729",0.042,0.0745,0.4288,0.538,0.1455,"33013"
"730",0.0146,0.0341,0.2837,0.114,0.0111,"33015"
"731",0.1172,0.0245,0.3556,0.8029,0.1748,"33017"
"732",0.1662,0.3464,0.099,0.3314,0.1513,"33019"
"733",0.1379,0.072,0.7778,0.3193,0.2054,"34005"
"734",0.1646,0.0793,0.6345,0.2286,0.1675,"34015"
"735",0.0185,0.0207,0.5444,0.141,0.0264,"34019"
"736",0.2344,0.4352,0.6208,0.3757,0.3354,"34029"
"737",0.451,0.5049,0.7854,0.5922,0.5901,"34033"
"738",0.0882,0.021,0.4992,0.0465,0.0191,"34037"
"739",0.2076,0.063,0.7179,0.3372,0.2178,"34041"
"740",0.0067,0.0532,0.5899,0.057,0.0248,"35028"
"741",0.4901,0.7985,0.2305,0.7571,0.5646,"36017"
"742",0.2322,0.383,0.5727,0.632,0.3854,"36021"
"743",0.3908,0.1076,0.2601,0.7969,0.3452,"36023"
"744",0.5016,0.4954,0.4374,0.8991,0.6331,"36025"
"745",0.2245,0.0506,0.7771,0.9293,0.4207,"36027"
"746",0.2659,0.4925,0.3305,0.7151,0.3869,"36031"
"747",0.5494,0.6791,0.2786,0.4801,0.501,"36035"
"748",0.2366,0.2359,0.3247,0.2773,0.1879,"36037"
"749",0.4197,0.0755,0.517,0.7727,0.4159,"36039"
"750",0.4834,0.4967,0.4868,0.9207,0.6484,"36045"
"751",0.5258,0.4327,0.1948,0.1875,0.2911,"36049"
"752",0.236,0.0611,0.2057,0.531,0.1666,"36053"
"753",0.3201,0.2846,0.4655,0.4645,0.3318,"36063"
"754",0.0876,0.1815,0.4699,0.6301,0.2315,"36069"
"755",0.5213,0.4852,0.5177,0.8539,0.643,"36073"
"756",0.6541,0.4623,0.1751,0.9354,0.6497,"36075"
"757",0.0895,0.0185,0.7507,0.1773,0.0812,"36079"
"758",0.2258,0.1691,0.5183,0.7498,0.343,"36083"
"759",0.0245,0.0471,0.3273,0.2642,0.0475,"36091"
"760",0.4,0.5349,0.2388,0.5995,0.4013,"36095"
"761",0.4532,0.4228,0.1375,0.5654,0.3691,"36097"
"762",0.4468,0.6132,0.2948,0.6055,0.4691,"36101"
"763",0.1255,0.0369,0.8545,0.4288,0.2146,"36103"
"764",0.3029,0.3623,0.1414,0.2725,0.1994,"36107"
"765",0.3404,0.1372,0.673,0.8023,0.4704,"36111"
"766",0.1596,0.2499,0.256,0.369,0.1742,"36113"
"767",0.4449,0.2337,0.3457,0.6361,0.4,"36115"
"768",0.3599,0.3996,0.3706,0.4183,0.3414,"36117"
"769",0.3933,0.1617,0.3754,0.4683,0.3121,"36121"
"770",0.6054,0.545,0.8606,0.802,0.7838,"37001"
"771",0.6379,0.3738,0.3916,0.4218,0.4994,"37009"
"772",0.2134,0.07,0.6587,0.8838,0.3799,"37021"
"773",0.8376,0.6387,0.6517,0.7924,0.8487,"37023"
"774",0.3191,0.3578,0.8103,0.3633,0.4175,"37025"
"775",0.7818,0.5135,0.5686,0.3693,0.651,"37027"
"776",0.3232,0.5925,0.4852,0.5151,0.4255,"37031"
"777",0.5799,0.3394,0.7857,0.6616,0.6481,"37035"
"778",0.2793,0.4148,0.8284,0.283,0.3809,"37037"
"779",0.5793,0.6501,0.8217,0.9054,0.8099,"37049"
"780",0.2742,0.2649,0.3047,0.0579,0.1194,"37053"
"781",0.1296,0.1082,0.616,0.1885,0.1449,"37055"
"782",0.7006,0.5081,0.7014,0.5024,0.6841,"37057"
"783",0.4376,0.3808,0.6737,0.3356,0.4411,"37059"
"784",0.5631,0.3636,0.8125,0.6052,0.6376,"37069"
"785",0.6497,0.5272,0.6823,0.5661,0.672,"37071"
"786",0.5818,0.5174,0.809,0.517,0.6561,"37077"
"787",0.371,0.5441,0.3352,0.1872,0.2809,"37087"
"788",0.3424,0.3327,0.7112,0.3069,0.3745,"37097"
"789",0.5172,0.6262,0.8211,0.2401,0.5395,"37101"
"790",0.528,0.2786,0.5387,0.1939,0.3564,"37109"
"791",0.6404,0.2652,0.2528,0.5161,0.4586,"37115"
"792",0.5379,0.4537,0.3976,0.3171,0.4223,"37121"
"793",0.7471,0.6861,0.8806,0.8246,0.8713,"37123"
"794",0.279,0.4368,0.673,0.3372,0.3621,"37125"
"795",0.5924,0.772,0.8306,0.8688,0.8287,"37127"
"796",0.6834,0.4444,0.7272,0.8268,0.7748,"37139"
"797",0.5787,0.234,0.695,0.5269,0.5478,"37141"
"798",0.7169,0.8001,0.6218,0.6224,0.7732,"37145"
"799",0.6646,0.6084,0.7625,0.4769,0.6965,"37151"
"800",0.7392,0.5852,0.6692,0.7351,0.7857,"37157"
"801",0.7102,0.5947,0.772,0.8144,0.8143,"37159"
"802",0.8293,0.7705,0.4718,0.497,0.7551,"37161"
"803",0.6204,0.5794,0.589,0.553,0.6325,"37167"
"804",0.6255,0.3693,0.1601,0.1643,0.3067,"37169"
"805",0.671,0.5415,0.6593,0.7014,0.7258,"37171"
"806",0.6678,0.539,0.6995,0.4174,0.6404,"37197"
"807",0.0115,0.1108,0.1203,0.2178,0.0299,"38001"
"808",0.101,0.1172,0.0917,0.5798,0.1245,"38003"
"809",0.128,0.0538,0.1009,0.1675,0.0312,"38007"
"810",0.1252,0.2407,0.1146,0.1363,0.0691,"38009"
"811",0.0707,0.2353,0.3292,0.4753,0.1755,"38011"
"812",0.0812,0.1605,0.1515,0.4438,0.1159,"38021"
"813",0.1003,0.149,0.6434,0.4435,0.2226,"38025"
"814",0.1656,0.943,0.2582,0.2576,0.2904,"38027"
"815",0.0303,0.1312,0.0544,0.1165,0.0175,"38031"
"816",0.0334,0.3203,0.0519,0.3785,0.093,"38033"
"817",0.1806,0.2919,0.1289,0.0411,0.0561,"38041"
"818",0.1131,0.156,0.0573,0.0831,0.029,"38043"
"819",0.0726,0.3903,0.0646,0.0379,0.0296,"38049"
"820",0.035,0.1547,0.3429,0.2295,0.0834,"38055"
"821",0.0118,0.0592,0.4514,0.4416,0.1016,"38057"
"822",0.0548,0.0328,0.4196,0.4811,0.1035,"38059"
"823",0.1828,0.6046,0.5158,0.1178,0.2108,"38065"
"824",0.1041,0.1175,0.1242,0.1385,0.0417,"38067"
"825",0.2777,0.2509,0.0977,0.4091,0.1914,"38069"
"826",0.0175,0.5486,0.0417,0.2798,0.0857,"38073"
"827",0.0099,0.2209,0.3187,0.049,0.028,"38075"
"828",0.0204,0.099,0.0961,0.1853,0.0232,"38081"
"829",0.0029,0.1331,0.049,0.0105,0.0019,"38091"
"830",0.1548,0.334,0.5877,0.1716,0.1946,"38095"
"831",0.0433,0.1433,0.2299,0.3521,0.0927,"38097"
"832",0.2156,0.6517,0.5479,0.4317,0.3682,"38099"
"833",0.515,0.7759,0.4193,0.5954,0.5793,"39003"
"834",0.4051,0.327,0.3117,0.7373,0.4334,"39005"
"835",0.7863,0.7001,0.3391,0.844,0.7857,"39007"
"836",0.1035,0.3569,0.0812,0.084,0.0535,"39011"
"837",0.4611,0.3773,0.1254,0.5651,0.3596,"39013"
"838",0.5602,0.7284,0.0653,0.3671,0.4048,"39015"
"839",0.3076,0.2776,0.6116,0.4505,0.3618,"39017"
"840",0.3576,0.277,0.07,0.1697,0.1538,"39019"
"841",0.3889,0.6313,0.2012,0.2681,0.2978,"39021"
"842",0.6328,0.8991,0.5323,0.5848,0.7271,"39023"
"843",0.1717,0.1818,0.1923,0.2053,0.1029,"39025"
"844",0.4768,0.7303,0.1515,0.5247,0.4424,"39027"
"845",0.579,0.4139,0.135,0.7023,0.4854,"39029"
"846",0.4857,0.845,0.0933,0.1576,0.3191,"39033"
"847",0.3064,0.5842,0.0382,0.0837,0.1347,"39037"
"848",0.2427,0.4432,0.3894,0.1996,0.2166,"39039"
"849",0.2621,0.5699,0.4333,0.2783,0.2914,"39043"
"850",0.151,0.467,0.4476,0.3021,0.2354,"39045"
"851",0.2446,0.5033,0.4091,0.0723,0.1777,"39051"
"852",0.7669,0.6406,0.1127,0.7794,0.664,"39053"
"853",0.0516,0.1242,0.235,0.3496,0.0901,"39055"
"854",0.2083,0.114,0.4916,0.3817,0.2076,"39057"
"855",0.7592,0.8669,0.1261,0.6132,0.6707,"39059"
"856",0.1962,0.1678,0.348,0.4674,0.2111,"39063"
"857",0.6271,0.2082,0.1827,0.7093,0.471,"39065"
